Gene	annotation	synonym
b3386	ribulose-phosphate 3-epimerase	rpe
b3387	DNA adenine methyltransferase	dam
b3388	cell division protein DamX	damX
b3389	3-dehydroquinate synthase	aroB
b3390	shikimate kinase 1	aroK
b3391	DNA utilization protein HofQ	hofQ
b3392	DNA utilization protein HofP	hofP
b3393	DNA utilization protein HofO	hofO
b3394	DNA utilization protein HofN	hofN
b3395	DNA utilization protein HofM	hofM
b3396	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA	mrcA
b3397	ADP-sugar diphosphatase NudE	nudE
b3398	inner membrane protein - inhibits the Rcs signaling pathway	igaA
b3399	purine nucleotidase	yrfG
b3400	heat shock protein Hsp15	hslR
b3401	molecular chaperone Hsp33	hslO
b3402	putative transport protein YhgE	yhgE
b3403	phosphoenolpyruvate carboxykinase (ATP)	pck
b3404	sensory histidine kinase EnvZ	envZ
b3405	DNA-binding transcriptional dual regulator OmpR	ompR
b3406	transcription elongation factor GreB	greB
b3407	putative RNA-binding protein YhgF	yhgF
b3408	ferrous iron transport protein A	feoA
b3409	Fe(2(+)) transporter FeoB	feoB
b3410	ferrous iron transport protein FeoC	feoC
b3411	recombination-promoting nuclease RpnA	rpnA
b3412	pimeloyl-acyl carrier protein methyl ester esterase	bioH
b3413	DNA utilization protein YhgH	yhgH
b3414	iron-sulfur cluster carrier protein NfuA	nfuA
b3415	high-affinity gluconate transporter	gntT
b3416	4-alpha-glucanotransferase	malQ
b3417	maltodextrin phosphorylase	malP
b3418	DNA-binding transcriptional activator MalT	malT
b4475	RNA 3'-terminal phosphate cyclase	rtcA
b3421	RNA-splicing ligase	rtcB
b3422	DNA-binding transcriptional activator RtcR	rtcR
b3423	DNA-binding transcriptional repressor GlpR	glpR
b3424	rhomboid protease	glpG
b3425	thiosulfate sulfurtransferase GlpE	glpE
b3426	aerobic glycerol 3-phosphate dehydrogenase	glpD
b3427	putative uncharacterized protein YzgL	yzgL
b3428	glycogen phosphorylase	glgP
b3429	glycogen synthase	glgA
b3430	glucose-1-phosphate adenylyltransferase	glgC
b3431	limit dextrin alpha-1%2C6-glucohydrolase	glgX
b3432	1%2C4-alpha-glucan branching enzyme	glgB
b3433	aspartate-semialdehyde dehydrogenase	asd
b3434	putative inner membrane protein	yhgN
b4476	low-affinity gluconate transporter	gntU
b3437	D-gluconate kinase%2C thermostable	gntK
b3438	DNA-binding transcriptional repressor GntR	gntR
b3439	quercetin 2%2C3-dioxygenase	yhhW
b3440	putative oxidoreductase YhhX	yhhX
b3441	N-acetyltransferase YhhY	yhhY
b3442	putative endonuclease YhhZ	yhhZ
b3443	putative uncharacterized protein YrhA	yrhA
b3444	IS1 protein InsA	insA-6
b3445	IS1 protein InsB	insB-6
b4612	uncharacterized protein YrhD	yrhD
b3446	putative heat shock chaperone	yrhB
b3447	glutathione hydrolase proenzyme	ggt
b3448	DUF2756 domain-containing protein YhhA	yhhA
b3449	glycerophosphodiester phosphodiesterase	ugpQ
b3450	sn-glycerol 3-phosphate ABC transporter ATP binding subunit	ugpC
b3451	sn-glycerol 3-phosphate ABC transporter membrane subunit UgpE	ugpE
b3452	sn-glycerol 3-phosphate ABC transporter membrane subunit UgpA	ugpA
b3453	sn-glycerol 3-phosphate ABC transporter periplasmic binding protein	ugpB
b3454	branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF	livF
b3455	branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG	livG
b3456	branched chain amino acid/phenylalanine ABC transporter membrane subunit LivM	livM
b3457	branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH	livH
b3458	L-leucine/L-phenylalanine ABC transporter periplasmic binding protein	livK
b3459	PanD maturation factor	panZ
b3460	branched chain amino acid/phenylalanine ABC transporter periplasmic binding protein	livJ
b3461	RNA polymerase%2C sigma 32 (sigma H) factor	rpoH
b3462	cell division protein FtsX	ftsX
b3463	cell division protein FtsE	ftsE
b3464	signal recognition particle receptor	ftsY
b3465	16S rRNA m(2)G966 methyltransferase	rsmD
b3466	DUF1145 domain-containing protein YhhL	yhhL
b3467	DUF2500 domain-containing protein YhhM	yhhM
b3468	conserved inner membrane enzyme YhhN	yhhN
b3469	Zn(2(+))/Cd(2(+))/Pb(2(+)) exporting P-type ATPase	zntA
b3470	sulfur transfer protein TusA	tusA
b3471	putative queuosine precursor transporter	yhhQ
b3472	periplasmic bacteriophage sensitivity protein DcrB	dcrB
b3473	putative transporter YhhS	yhhS
b3474	putative transporter YhhT	yhhT
b3475	holo-[acyl carrier protein] synthase 2	acpT
b3476	Ni(2(+)) ABC transporter periplasmic binding protein	nikA
b3477	Ni(2(+)) ABC transporter membrane subunit NikB	nikB
b3478	Ni(2(+)) ABC transporter membrane subunit NikC	nikC
b3479	Ni(2(+)) ABC transporter ATP binding subunit NikD	nikD
b3480	Ni(2(+)) ABC transporter ATP binding subunit NikE	nikE
b3481	DNA-binding transcriptional repressor NikR	nikR
b3482	rhs element protein RhsB	rhsB
b3483	PF15631 family protein YhhH	yhhH
b3484	putative transposase	yhhI
b3485	ABC transporter family protein YhhJ	yhhJ
b3486	ribosome-associated ATPase	rbbA
b3487	putative membrane fusion protein YhiI	yhiI
b3488	DUF4049 domain-containing protein YhiJ	yhiJ
b4660	putative uncharacterized protein YhiL	yhiL
b3491	inner membrane protein with a role in acid resistance	yhiM
b3492	putative oxidoreductase YhiN	yhiN
b3493	metal phosphate:H(+) symporter PitA	pitA
b3494	putative universal stress (ethanol tolerance) protein B	uspB
b3495	universal stress global stress response regulator	uspA
b3496	dipeptide/tripeptide:H(+) symporter DtpB	dtpB
b3497	16S rRNA m(2)G1516 methyltransferase	rsmJ
b3498	oligopeptidase A	prlC
b3499	23S rRNA m(6)A2030 methyltransferase	rlmJ
b3500	glutathione reductase (NADPH)	gor
b4613	UV inducible membrane toxin DinQ	dinQ
b3501	DNA-binding transcriptional repressor ArsR	arsR
b3502	arsenite/antimonite:H(+) antiporter	arsB
b3503	arsenate reductase	arsC
b3504	putative uncharacterized protein YhiS	yhiS
b3505	IS5 transposase and trans-activator	insH-11
b3506	starvation lipoprotein	slp
b3507	putative DNA-binding transcriptional regulator DctR	dctR
b3508	inner membrane protein YhiD	yhiD
b3509	periplasmic acid stress chaperone	hdeB
b3510	HdeA monomer%2C chaperone active form	hdeA
b3511	acid-resistance membrane protein	hdeD
b3512	DNA-binding transcriptional activator GadE	gadE
b3513	multidrug efflux pump membrane fusion protein MdtE	mdtE
b3514	multidrug efflux pump RND permease MdtF	mdtF
b3515	DNA-binding transcriptional dual regulator GadW	gadW
b3516	DNA-binding transcriptional dual regulator GadX	gadX
b3517	glutamate decarboxylase A	gadA
b3518	cytochrome c peroxidase	ccp
b3519	cytoplasmic trehalase	treF
b3520	putative DNA-binding transcriptional regulator YhjB	yhjB
b3521	putative DNA-binding transcriptional regulator YhjC	yhjC
b3522	putative transporter YhjD	yhjD
b3523	putative transporter YhjE	yhjE
b3524	AsmA family protein YhjG	yhjG
b3525	c-di-GMP phosphodiesterase PdeH	pdeH
b3526	2-dehydro-3-deoxygluconokinase	kdgK
b3527	peptidase M16 family protein	yhjJ
b3528	C4 dicarboxylate/orotate:H(+) symporter	dctA
b3529	putative c-di-GMP phosphodiesterase PdeK	pdeK
b3530	cellulose biosynthesis protein BcsC	bcsC
b3531	endo-1%2C4-D-glucanase	bcsZ
b3532	cellulose synthase periplasmic subunit	bcsB
b3533	cellulose synthase catalytic subunit	bcsA
b3534	cellulose biosynthesis protein	bcsQ
b3535	PF10945 family protein YhjR	yhjR
b3536	c-di-GMP-binding protein BcsE	bcsE
b3537	putative cellulose biosynthesis protein BcsF	bcsF
b3538	cellulose phosphoethanolamine transferase	bcsG
b4453	small toxic polypeptide LdrD	ldrD
b3539	putative transporter YhjV	yhjV
b3540	dipeptide ABC transporter ATP binding subunit DppF	dppF
b3541	dipeptide ABC transporter ATP binding subunit DppD	dppD
b3542	dipeptide ABC transporter membrane subunit DppC	dppC
b3543	dipeptide ABC transporter membrane subunit DppB	dppB
b3544	dipeptide ABC transporter periplasmic binding protein	dppA
b3546	Kdo2-lipid A phosphoethanolamine 7''-transferase	eptB
b3547	putative pyruvate transporter	yhjX
b3548	conserved protein YhjY	yhjY
b3549	3-methyl-adenine DNA glycosylase I%2C constitutive	tag
b3550	putative acyltransferase with acyl-CoA N-acyltransferase domain	yiaC
b3551	biotin sulfoxide reductase	bisC
b3552	PF13488 family lipoprotein YiaD	yiaD
b3553	glyoxylate reductase	ghrB
b3554	DUF3053 domain-containing protein YiaF	yiaF
b3555	putative DNA-binding transcriptional regulator YiaG	yiaG
b3556	cold shock protein CspA	cspA
b4455	small toxic polypeptide	hokA
b3557	insertion element IS150 protein InsA	insJ
b3558	IS150 conserved protein InsB	insK
b3559	glycine--tRNA ligase subunit beta	glyS
b3560	glycine--tRNA ligase subunit alpha	glyQ
b4553	putative lipoprotein YsaB	ysaB
b3561	O-acetyltransferase WecH	wecH
b3562	conserved inner membrane protein YiaA	yiaA
b3563	conserved inner membrane protein YiaB	yiaB
b3564	xylulokinase	xylB
b3565	xylose isomerase	xylA
b3566	xylose ABC transporter periplasmic binding protein	xylF
b3567	xylose ABC transporter ATP binding subunit	xylG
b3568	xylose ABC transporter membrane subunit	xylH
b3569	DNA-binding transcriptional dual regulator XylR	xylR
b3570	putative glycoside hydrolase Bax	bax
b3571	alpha-amylase	malS
b3572	valine--pyruvate aminotransferase	avtA
b3573	putative electron transport protein YsaA	ysaA
b3574	DNA-binding transcriptional repressor YiaJ	yiaJ
b3575	2%2C3-diketo-L-gulonate reductase	yiaK
b3576	DUF386 domain-containing protein YiaL	yiaL
b3577	2%2C3-diketo-L-gulonate:Na(+) symporter - membrane subunit	yiaM
b3578	2%2C3-diketo-L-gulonate:Na(+) symporter - membrane subunit	yiaN
b3579	2%2C3-diketo-L-gulonate:Na(+) symporter - periplasmic binding protein	yiaO
b3580	L-xylulose kinase	lyxK
b3581	3-keto-L-gulonate-6-phosphate decarboxylase SgbH	sgbH
b3582	putative L-xylulose 5-phosphate 3-epimerase	sgbU
b3583	L-ribulose-5-phosphate 4-epimerase SgbE	sgbE
b3584	outer membrane protein YiaT	yiaT
b3585	putative LysR-type DNA-binding transcriptional regulator YiaU	yiaU
b3586	putative membrane fusion protein	yiaV
b3587	DUF3302 domain-containing protein YiaW	yiaW
b3588	aldehyde dehydrogenase B	aldB
b3589	L-threonine dehydrogenase	yiaY
b3590	selenocysteyl-tRNA-specific translation elongation factor	selB
b3591	selenocysteine synthase	selA
b3592	glutathione transferase-like protein YibF	yibF
b3593	rhs element protein RhsA	rhsA
b3594	putative lyase containing HEAT-repeat	yibA
b3595	putative RHS domain-containing protein YibJ	yibJ
b3596	tetratricopeptide-like domain-containing protein YibG	yibG
b4650	RHS family protein YibS	yibS
b4615	PF15596 family protein YibV	yibV
b3597	inner membrane protein YibH	yibH
b3598	DUF3302 domain-containing protein YibI	yibI
b3599	mannitol-specific PTS enzyme IICBA component	mtlA
b3600	mannitol-1-phosphate 5-dehydrogenase	mtlD
b3601	transcriptional repressor MtlR	mtlR
b4554	protein YibT	yibT
b3602	DUF2810 domain-containing protein YibL	yibL
b3603	lactate/glycolate:H(+) symporter LldP	lldP
b3604	DNA-binding transcriptional dual regulator LldR	lldR
b3605	L-lactate dehydrogenase	lldD
b3606	tRNA (cytidine/uridine-2'-O)-ribose methyltransferase	trmL
b3607	serine acetyltransferase	cysE
b3608	glycerol-3-phosphate dehydrogenase	gpsA
b3609	SecB chaperone	secB
b3610	glutaredoxin 3	grxC
b3611	putative sulfurtransferase YibN	yibN
b3612	2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase	gpmM
b3613	murein hydrolase activator EnvC	envC
b3614	divergent polysaccharide deacetylase domain-containing protein YibQ	yibQ
b3615	UDP-glucuronate:LPS(HepIII) glycosyltransferase	waaH
b3616	threonine dehydrogenase	tdh
b3617	2-amino-3-ketobutyrate CoA ligase	kbl
b3618	protein HtrL	htrL
b3619	ADP-L-glycero-D-mannoheptose 6-epimerase	rfaD
b3620	ADP-heptose--LPS heptosyltransferase 2	waaF
b3621	ADP-heptose:LPS heptosyltransferase 1	waaC
b3622	O-antigen ligase	waaL
b3623	putative ADP-heptose:LPS heptosyltransferase 4	waaU
b3624	lipopolysaccharide core biosynthesis protein WaaZ	waaZ
b3625	lipopolysaccharide core heptose (II) kinase	waaY
b3626	UDP-glucose:(glucosyl)LPS alpha-1%2C2-glucosyltransferase	waaJ
b3627	UDP-D-glucose:(glucosyl)LPS alpha-1%2C3-glucosyltransferase	waaO
b3628	UDP-D-galactose:(glucosyl)lipopolysaccharide-1%2C6-D-galactosyltransferase	waaB
b3629	lipopolysaccharide core biosynthesis protein	waaS
b3630	lipopolysaccharide core heptose (I) kinase	waaP
b3631	lipopolysaccharide glucosyltransferase I	waaG
b3632	lipopolysaccharide core heptosyltransferase 3	waaQ
b3633	KDO transferase	waaA
b3634	pantetheine-phosphate adenylyltransferase	coaD
b3635	DNA-formamidopyrimidine glycosylase	mutM
b3636	50S ribosomal subunit protein L33	rpmG
b3637	50S ribosomal subunit protein L28	rpmB
b3638	RadC-like JAB domain-containing protein YicR	yicR
b3639	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase	dfp
b3640	deoxyuridine triphosphatase	dut
b3641	nucleoid occlusion factor SlmA	slmA
b3642	orotate phosphoribosyltransferase	pyrE
b3643	truncated RNase PH	rph
b3644	UPF0701 family protein YicC	yicC
b3645	DNA damage-inducible protein D	dinD
b3646	conserved inner membrane protein YicG	yicG
b3647	DNA ligase B	ligB
b3648	guanylate kinase	gmk
b3649	RNA polymerase subunit omega	rpoZ
b3650	bifunctional (p)ppGpp synthase/hydrolase SpoT	spoT
b3651	tRNA (Gm18) 2'-O-methyltransferase	trmH
b3652	ATP-dependent DNA helicase RecG	recG
b3653	glutamate:sodium symporter	gltS
b3654	xanthine:H(+) symporter XanP	xanP
b3655	AsmA famly protein YicH	yicH
b3656	alpha-D-xyloside xylohydrolase	yicI
b3657	putative xyloside transporter YicJ	yicJ
b3659	putative arabinose exporter	setC
b3660	putative inner membrane protein	yicL
b3661	lipoprotein-28	nlpA
b4555	uncharacterized protein YicS	yicS
b3662	purine ribonucleoside exporter	nepI
b3663	conserved protein YicN	yicN
b3664	adenine transporter	adeQ
b3665	adenine deaminase	adeD
b3666	hexose-6-phosphate:phosphate antiporter	uhpT
b3667	inner membrane protein sensing glucose-6-phosphate	uhpC
b3668	sensory histidine kinase UhpB	uhpB
b3669	DNA-binding transcriptional activator UhpA	uhpA
b3670	acetohydroxy acid synthase I subunit IlvN	ilvN
b3671	acetohydroxy acid synthase I subunit IlvB	ilvB
b3672	ilvBN operon leader peptide	ivbL
b4618	membrane-depolarizing toxin TisB	tisB
b3673	multidrug efflux pump EmrD	emrD
b3674	uncharacterized protein YidF	yidF
b3675	putative inner membrane protein	yidG
b3676	conserved inner membrane protein YidH	yidH
b3677	putative inner membrane protein	yidI
b3678	putative sulfatase/phosphatase	yidJ
b3679	putative transporter YidK	yidK
b3680	putative DNA-binding transcriptional regulator YidL	yidL
b3681	putative inactive phospho-glucosidase	glvG
b3682	putative PTS enzyme II component GlvB	glvB
b3683	putative PTS enzyme II component GlvC	glvC
b3684	putative DNA-binding transcriptional regulator YidP	yidP
b3685	putative transport protein YidE	yidE
b3686	small heat shock protein IbpB	ibpB
b3687	small heat shock protein IbpA	ibpA
b3688	DUF1375 domain-containing putative lipoprotein YidQ	yidQ
b3689	DUF3748 domain-containing galacturonate catabolism protein YidR	yidR
b3690	colicin M resistance protein	cbrA
b3691	putative D-galactonate transporter	dgoT
b4478	D-galactonate dehydratase	dgoD
b4477	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	dgoA
b3693	2-dehydro-3-deoxygalactonokinase	dgoK
b4479	putative DNA-binding transcriptional regulator DgoR	dgoR
b3696	putative lipoprotein YidX	yidX
b3697	sugar phosphatase YidA	yidA
b3698	conserved protein YidB	yidB
b3699	DNA gyrase subunit B	gyrB
b3700	DNA repair protein RecF	recF
b3701	beta sliding clamp	dnaN
b3702	chromosomal replication initiator protein DnaA	dnaA
b4757	protein YsdD	ysdD
b3703	50S ribosomal subunit protein L34	rpmH
b3704	RNase P protein component	rnpA
b4557	membrane protein insertion efficiency factor	yidD
b3705	membrane protein insertase YidC	yidC
b3706	5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit	mnmE
b3707	tnaAB operon leader peptide	tnaC
b3708	tryptophanase	tnaA
b3709	tryptophan:H(+) symporter TnaB	tnaB
b3710	efflux pump MdtL	mdtL
b3711	putative LysR-type transcriptional regulator YidZ	yidZ
b3712	putative phosphopantetheinyl transferase	yieE
b3713	chromate reductase	yieF
b3714	adenine:H(+) symporter	adeP
b3715	6-phosphogluconate phosphatase	yieH
b3716	putative inner membrane protein	cbrB
b3717	UPF0167 family colicin E2 tolerance protein CbrC	cbrC
b3718	putative glucosamine-6-phosphate deaminase YieK	yieK
b3719	putative hydrolase YieL	yieL
b3720	carbohydrate-specific outer membrane porin%2C cryptic	bglH
b3721	6-phospho-beta-glucosidase B	bglB
b3722	beta-glucoside specific PTS enzyme II/BglG kinase/BglG phosphatase	bglF
b3723	transcriptional antiterminator BglG	bglG
b3724	negative regulator of the pho regulon	phoU
b3725	phosphate ABC transporter ATP binding subunit	pstB
b3726	phosphate ABC transporter membrane subunit PstA	pstA
b3727	phosphate ABC transporter membrane subunit PstC	pstC
b3728	phosphate ABC transporter periplasmic binding protein	pstS
b3729	L-glutamine--D-fructose-6-phosphate aminotransferase	glmS
b3730	fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase	glmU
b3731	ATP synthase F1 complex subunit epsilon	atpC
b3732	ATP synthase F1 complex subunit beta	atpD
b3733	ATP synthase F1 complex subunit gamma	atpG
b3734	ATP synthase F1 complex subunit alpha	atpA
b3735	ATP synthase F1 complex subunit delta	atpH
b3736	ATP synthase Fo complex subunit b	atpF
b3737	ATP synthase Fo complex subunit c	atpE
b3738	ATP synthase Fo complex subunit a	atpB
b3739	ATP synthase accessory factor	atpI
b3740	16S rRNA m(7)G527 methyltransferase	rsmG
b3741	5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG	mnmG
b3742	flavoprotein MioC	mioC
b3743	DNA-binding transcriptional dual regulator AsnC	asnC
b3744	asparagine synthetase A	asnA
b3745	protein ViaA	viaA
b3746	regulatory ATPase RavA	ravA
b3747	K(+):H(+) symporter Kup	kup
b3748	D-ribose pyranase	rbsD
b3749	ribose ABC transporter ATP binding subunit	rbsA
b3750	ribose ABC transporter membrane subunit	rbsC
b3751	ribose ABC transporter periplasmic binding protein	rbsB
b3752	ribokinase	rbsK
b3753	DNA-binding transcriptional dual regulator RbsR	rbsR
b3754	putative transporter HsrA	hsrA
b3755	putative transcriptional regulator YieP	yieP
b4480	DNA-binding transcriptional dual regulator HdfR	hdfR
b3764	macrodomain Ori protein	maoP
b3765	putative magnesium chelatase YifB	yifB
b3766	ilvXGMEDA operon leader peptide	ilvL
b4669	uncharacterized protein IlvX	ilvX
b4488	acetolactate synthase II subunit IlvG%2C N-terminal fragment (pseudogene)	ilvG
b3769	acetolactate synthase II subunit IlvM	ilvM
b3770	branched-chain-amino-acid aminotransferase	ilvE
b3771	dihydroxy-acid dehydratase	ilvD
b3772	threonine deaminase	ilvA
b3773	DNA-binding transcriptional dual regulator IlvY	ilvY
b3774	ketol-acid reductoisomerase (NADP(+))	ilvC
b3775	peptidyl-prolyl cis-trans isomerase C	ppiC
b3777	putative toxin YifN	yifN
b3778	ATP-dependent DNA helicase Rep	rep
b3779	guanosine-5'-triphosphate%2C3'-diphosphate phosphatase	gpp
b3780	ATP-dependent RNA helicase RhlB	rhlB
b3781	thioredoxin 1	trxA
b3782	rho operon leader peptide	rhoL
b3783	transcription termination factor Rho	rho
b3784	UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase	rfe
b3785	enterobacterial common antigen polysaccharide co-polymerase	wzzE
b3786	UDP-N-acetylglucosamine 2-epimerase	wecB
b3787	UDP-N-acetyl-D-mannosamine dehydrogenase	wecC
b3788	dTDP-glucose 4%2C6-dehydratase 2	rffG
b3789	dTDP-glucose pyrophosphorylase 2	rffH
b3790	dTDP-4-amino-4%2C6-dideoxy-D-galactose acyltransferase	rffC
b3791	dTDP-4-dehydro-6-deoxy-D-glucose transaminase	wecE
b3792	lipid III flippase	wzxE
b4481	4-acetamido-4%2C6-dideoxy-D-galactose transferase	rffT
b3793	enterobacterial common antigen polymerase	wzyE
b3794	UDP-N-acetyl-D-mannosaminuronic acid transferase	rffM
b3795	putative transporter YifK	yifK
b3800	putative anaerobic sulfatase maturation enzyme AslB	aslB
b3801	arylsulfatase	aslA
b3802	protein HemY	hemY
b3803	PF04375 family protein HemX	hemX
b3804	uroporphyrinogen-III synthase	hemD
b3805	hydroxymethylbilane synthase	hemC
b3806	adenylate cyclase	cyaA
b3807	frataxin CyaY	cyaY
b3808	protein YzcX	yzcX
b4558	putative lipoprotein YifL	yifL
b3809	diaminopimelate epimerase	dapF
b3810	conserved protein YigA	yigA
b3811	site-specific tyrosine recombinase	xerC
b3812	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase	yigB
b3813	ssDNA translocase and dsDNA helicase - DNA helicase II	uvrD
b4482	DUF2233 domain-containing protein YigE	yigE
b3816	Ni(2(+))/Co(2(+))/Mg(2(+)) transporter	corA
b3817	DUF2628 domain-containing protein YigF	yigF
b3818	inner membrane protein	yigG
b3819	putative transporter RarD	rarD
b3820	putative thioesterase YigI	yigI
b3821	outer membrane phospholipase A	pldA
b3822	ATP-dependent DNA helicase RecQ	recQ
b3823	L-threonine exporter	rhtC
b3824	L-homoserine/L-homoserine lactone/L-threonine exporter	rhtB
b3825	lysophospholipase L2	pldB
b3826	phosphosugar phosphatase YigL	yigL
b3827	biotin transporter	bioP
b3828	DNA-binding transcriptional dual regulator MetR	metR
b3829	cobalamin-independent homocysteine transmethylase	metE
b3830	putative dienelactone hydrolase	ysgA
b3831	uridine phosphorylase	udp
b3832	putative recombination limiting protein RmuC	rmuC
b3833	bifunctional 2-octaprenyl-6-methoxy-1%2C4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase	ubiE
b3834	ubiquinone biosynthesis accessory factor UbiJ	ubiJ
b3835	ubiquinone biosynthesis protein UbiB	ubiB
b3836	twin arginine protein translocation system - TatA protein	tatA
b3838	twin arginine protein translocation system - TatB protein	tatB
b3839	twin arginine protein translocation system - TatC protein	tatC
b4483	3' -> 5' ssDNA/RNA exonuclease TatD	tatD
b3842	transcription antiterminator RfaH	rfaH
b3843	3-octaprenyl-4-hydroxybenzoate decarboxylase	ubiD
b3844	flavin reductase	fre
b3845	3-ketoacyl-CoA thiolase	fadA
b3846	dodecenoyl-CoA delta-isomerase%2C enoyl-CoA hydratase%2C 3-hydroxybutyryl-CoA epimerase%2C 3-hydroxyacyl-CoA dehydrogenase	fadB
b3847	Xaa-Pro dipeptidase	pepQ
b3848	IMPACT family member YigZ	yigZ
b3849	K(+) transporter TrkH	trkH
b3850	protoporphyrinogen oxidase	hemG
b3856	molybdopterin-guanine dinucleotide biosynthesis adaptor protein	mobB
b3857	molybdenum cofactor guanylyltransferase	mobA
b3858	conserved protein YihD	yihD
b3859	stress response kinase A	srkA
b3860	thiol:disulfide oxidoreductase DsbA	dsbA
b3861	uncharacterized protein YihF	yihF
b3862	putative acyltransferase YihG	yihG
b3863	DNA polymerase I	polA
b3865	GTP-binding protein YihA	yihA
b3866	Der GTPase-activating protein YihI	yihI
b3867	coproporphyrinogen III dehydrogenase	hemN
b4686	uncharacterized protein YshB	yshB
b3868	DNA-binding transcriptional dual regulator NtrC	glnG
b3869	sensory histidine kinase NtrB	glnL
b3870	glutamine synthetase	glnA
b3871	ribosome-dependent GTPase%2C ribosome assembly factor	bipA
b3872	putative transcriptional regulator YihL	yihL
b3873	putative TIM barrel domain-containing protein YihM	yihM
b3874	putative transporter YihN	yihN
b3875	putative outer membrane porin L	ompL
b3876	putative sulfoquinovose transporter	yihO
b3877	putative 2%2C3-dihydroxypropane-1-sulfonate export protein	yihP
b3878	sulfoquinovosidase	yihQ
b3879	putative aldose 1-epimerase YihR	yihR
b3880	sulfoquinovose isomerase	yihS
b3881	6-deoxy-6-sulfofructose-1-phosphate aldolase	yihT
b3882	3-sulfolactaldehyde reductase	yihU
b3883	6-deoxy-6-sulfofructose kinase	yihV
b3884	putative DNA-binding transcriptional regulator YihW	yihW
b3885	alpha-D-glucose-1-phosphate phosphatase	yihX
b3886	putative inner membrane protein	yihY
b3887	D-aminoacyl-tRNA deacylase	dtd
b3888	putative acetyltransferase YiiD	yiiD
b3889	putative DNA-binding transcriptional regulator YiiE	yiiE
b3890	protein YiiF	yiiF
b3891	formate dehydrogenase formation protein	fdhE
b3892	formate dehydrogenase O subunit gamma	fdoI
b3893	formate dehydrogenase O subunit beta	fdoH
b3894	formate dehydrogenase O subunit alpha	fdoG
b3895	sulfurtransferase for molybdenum cofactor sulfuration	fdhD
b3896	DUF3829 domain-containing lipoprotein YiiG	yiiG
b3897	putative transcriptional regulator FrvR	frvR
b3898	peptidase M42 family protein	frvX
b3899	putative PTS enzyme IIBC component FrvB	frvB
b3900	putative PTS enzyme IIA component FrvA	frvA
b3901	L-rhamnose mutarotase	rhaM
b3902	rhamnulose-1-phosphate aldolase	rhaD
b3903	L-rhamnose isomerase	rhaA
b3904	rhamnulokinase	rhaB
b3905	DNA-binding transcriptional activator RhaS	rhaS
b3906	DNA-binding transcriptional activator RhaR	rhaR
b3907	rhamnose/lyxose:H(+) symporter	rhaT
b3908	superoxide dismutase (Mn)	sodA
b3909	2-dehydro-3-deoxy-D-gluconate:H(+) symporter	kdgT
b3910	2-amino-6-N-hydroxylaminopurine resistance protein	yiiM
b3911	sensory histidine kinase CpxA	cpxA
b3912	DNA-binding transcriptional dual regulator CpxR	cpxR
b4484	periplasmic protein CpxP	cpxP
b3915	Zn(2(+))/Fe(2(+))/Cd(2(+)) exporter	fieF
b3916	6-phosphofructokinase I	pfkA
b3917	sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp	sbp
b3918	CDP-diacylglycerol diphosphatase	cdh
b3919	triose-phosphate isomerase	tpiA
b3920	DUF1454 domain-containing protein YiiQ	yiiQ
b3921	DUF805 domain-containing protein YiiR	yiiR
b3922	DUF406 domain-containing protein YiiS	yiiS
b3923	universal stress protein D	uspD
b3924	flavodoxin/ferredoxin-NADP(+) reductase	fpr
b3925	fructose-1%2C6-bisphosphatase 2	glpX
b3926	glycerol kinase	glpK
b3927	glycerol facilitator	glpF
b3928	cell division factor ZapB	zapB
b3929	ribonuclease E inhibitor protein A	rraA
b3930	1%2C4-dihydroxy-2-naphthoate octaprenyltransferase	menA
b3931	ATPase component of the HslVU protease	hslU
b3932	peptidase component of the HslVU protease	hslV
b3933	cell division protein FtsN	ftsN
b3934	DNA-binding transcriptional repressor CytR	cytR
b3935	primosome factor N'	priA
b3936	50S ribosomal subunit protein L31	rpmE
b3937	putative lipid binding hydrolase	yiiX
b3938	DNA-binding transcriptional repressor MetJ	metJ
b3939	O-succinylhomoserine(thiol)-lyase/O-succinylhomoserine lyase	metB
b3940	fused aspartate kinase/homoserine dehydrogenase 2	metL
b3941	5%2C10-methylenetetrahydrofolate reductase	metF
b3942	hydroperoxidase I	katG
b3943	cystine exporter	yijE
b3944	conserved protein YijF	yijF
b3945	L-1%2C2-propanediol dehydrogenase/glycerol dehydrogenase	gldA
b3946	fructose-6-phosphate aldolase 2	fsaB
b3947	putative PTS multiphosphoryl transfer protein PtsA	ptsA
